,Date,Quantity
3140,2021-02-07,39969.0
3149,2021-02-06,38344.8
3155,2021-02-05,38834.4
3166,2021-02-04,38442.2
3173,2021-02-03,40260.5
3184,2021-02-02,40606.7
3193,2021-02-01,41279.7
3198,2021-01-31,41960.9
3207,2021-01-30,40846.8
3216,2021-01-29,41680.8
3226,2021-01-28,41215.9
3232,2021-01-27,42623.3
3241,2021-01-26,42112.6
3250,2021-01-25,42030.3
3255,2021-01-24,42594.6
3267,2021-01-23,40503.7
3271,2021-01-22,41991.2
3282,2021-01-21,41429.8
3289,2021-01-20,42725.2
3297,2021-01-19,43266.1
3309,2021-01-18,42398.4
3320,2021-01-17,42828.9
3327,2021-01-16,42125.3
3333,2021-01-15,42646.0
3343,2021-01-14,42047.9
3352,2021-01-13,42998.1
3363,2021-01-12,41205.5
3370,2021-01-11,41283.3
3379,2021-01-10,42541.8
3391,2021-01-09,40192.8
3398,2021-01-08,42170.0
3403,2021-01-07,43056.1
3416,2021-01-06,43737.7
3422,2021-01-05,44199.8
3430,2021-01-04,44666.7
3438,2021-01-03,45182.8
3448,2021-01-02,44731.7
3453,2021-01-01,45374.9
3461,2020-12-31,45252.7
3470,2020-12-30,46747.6
3477,2020-12-29,46383.6
3486,2020-12-28,46645.7
3498,2020-12-27,48340.8
3504,2020-12-26,46757.2
3510,2020-12-25,47048.3
3521,2020-12-24,47232.6
3531,2020-12-23,48439.8
3539,2020-12-22,47604.8
3549,2020-12-21,46413.2
3557,2020-12-20,46920.2
3567,2020-12-19,45614.1
3576,2020-12-18,45126.2
3584,2020-12-17,43887.6
3592,2020-12-16,45084.5
3601,2020-12-15,44989.8
3611,2020-12-14,45841.6
3618,2020-12-13,46169.4
3625,2020-12-12,44829.7
3635,2020-12-11,45880.3
3647,2020-12-10,45070.0
3652,2020-12-09,45931.5
3664,2020-12-08,45972.7
3674,2020-12-07,46266.5
3681,2020-12-06,46311.0
3689,2020-12-05,44528.6
3696,2020-12-04,44007.6
3710,2020-12-03,43366.5
3717,2020-12-02,44504.3
3725,2020-12-01,43928.8
3735,2020-11-30,44480.5
3745,2020-11-29,45948.0
3750,2020-11-28,43441.9
3763,2020-11-27,42764.6
3770,2020-11-26,42861.0
3777,2020-11-25,45023.9
3787,2020-11-24,45422.7
3795,2020-11-23,45101.8
3803,2020-11-22,44731.3
3815,2020-11-21,43019.2
3824,2020-11-20,42083.0
3831,2020-11-19,40198.8
3840,2020-11-18,41392.9
3849,2020-11-17,41737.5
3861,2020-11-16,40691.9
3868,2020-11-15,39603.9
3874,2020-11-14,36771.9
3885,2020-11-13,36747.3
3893,2020-11-12,36036.9
3905,2020-11-11,37316.3
3914,2020-11-10,37601.2
3919,2020-11-09,37822.3
3927,2020-11-08,37561.5
3939,2020-11-07,34970.7
3944,2020-11-06,34999.1
3955,2020-11-05,34762.3
3964,2020-11-04,35134.6
3971,2020-11-03,34568.5
3984,2020-11-02,34755.3
3990,2020-11-01,33546.2
3998,2020-10-31,31299.0
4007,2020-10-30,29271.5
4019,2020-10-29,28018.7
4024,2020-10-28,27874.7
4033,2020-10-27,26570.1
4040,2020-10-26,25583.1
4052,2020-10-25,25806.2
4057,2020-10-24,23864.1
4064,2020-10-23,22721.0
4072,2020-10-22,22122.0
4084,2020-10-21,22241.7
4093,2020-10-20,22132.1
4100,2020-10-19,22437.7
4110,2020-10-18,23653.3
4118,2020-10-17,23106.6
4125,2020-10-16,22425.5
4137,2020-10-15,21713.4
4143,2020-10-14,22282.0
4152,2020-10-13,22443.0
4162,2020-10-12,22824.8
4171,2020-10-11,23494.2
4178,2020-10-10,23187.1
4185,2020-10-09,22711.9
4194,2020-10-08,21981.8
4203,2020-10-07,22105.4
4212,2020-10-06,22691.0
4223,2020-10-05,23441.6
4232,2020-10-04,23805.3
4240,2020-10-03,23030.4
4246,2020-10-02,22507.3
4257,2020-10-01,22317.0
4265,2020-09-30,22428.0
4275,2020-09-29,22040.6
4283,2020-09-28,22558.5
4291,2020-09-27,22709.7
4300,2020-09-26,21071.1
4311,2020-09-25,19874.9
4319,2020-09-24,19639.2
4329,2020-09-23,19962.5
4335,2020-09-22,19978.2
4343,2020-09-21,19721.7
4355,2020-09-20,19355.3
4363,2020-09-19,18849.5
4371,2020-09-18,17702.9
4380,2020-09-17,17402.2
4387,2020-09-16,18685.5
4398,2020-09-15,18649.0
4408,2020-09-14,19030.0
4416,2020-09-13,20885.3
4424,2020-09-12,20695.4
4434,2020-09-11,20885.1
4442,2020-09-10,21055.1
4449,2020-09-09,22383.0
4460,2020-09-08,23135.1
4466,2020-09-07,23958.1
4479,2020-09-05,26905.6
4485,2020-09-04,26241.2
4496,2020-09-03,26653.4
4502,2020-09-02,26753.0
4511,2020-09-01,28616.2
4519,2020-08-31,29223.6
4530,2020-08-30,30054.3
4537,2020-08-29,29431.2
4546,2020-08-28,29200.2
4555,2020-08-27,29090.7
4564,2020-08-26,26407.3
4577,2020-08-25,28146.1
4585,2020-08-24,28331.9
4591,2020-08-23,27683.9
4599,2020-08-22,26554.9
4606,2020-08-21,26236.4
4617,2020-08-20,26368.7
4625,2020-08-19,27596.1
4633,2020-08-18,29156.1
4641,2020-08-17,29947.4
4653,2020-08-16,30630.0
4659,2020-08-15,30264.1
4670,2020-08-14,30354.1
4677,2020-08-13,30164.8
4686,2020-08-12,30485.6
4691,2020-08-11,30898.1
4700,2020-08-10,31692.0
4708,2020-08-09,32067.8
4719,2020-08-08,30485.8
4726,2020-08-07,30188.8
4734,2020-08-06,30034.5
4748,2020-08-05,30355.3
4755,2020-08-04,31894.0
4766,2020-08-03,32737.3
4773,2020-08-02,33321.5
4781,2020-08-01,32191.7
4790,2020-07-31,31243.0
4801,2020-07-30,29326.5
4806,2020-07-29,29500.2
4817,2020-07-28,29374.6
4824,2020-07-27,29239.5
4833,2020-07-26,29304.7
4844,2020-07-25,26239.4
4852,2020-07-24,25142.0
4858,2020-07-23,24286.8
4867,2020-07-22,24680.0
4877,2020-07-21,23924.9
4889,2020-07-20,24323.2
4896,2020-07-19,23893.2
4903,2020-07-18,22576.3
4911,2020-07-17,20754.7
4917,2020-07-16,19343.6
4926,2020-07-15,18253.1
4932,2020-07-14,18388.1
4939,2020-07-13,17993.9
4947,2020-07-12,17692.6
4954,2020-07-11,16322.2
4959,2020-07-10,15699.3
4967,2020-07-09,15142.4
4973,2020-07-08,15315.5
4982,2020-07-07,18150.0
4990,2020-07-06,20964.2
4994,2020-07-05,22574.1
5002,2020-07-04,20138.3
5006,2020-07-03,19013.1
5013,2020-07-02,17607.9
5023,2020-07-01,17384.6
5027,2020-06-30,16154.8
5038,2020-06-29,15474.6
5051,2020-06-28,16293.6
5053,2020-06-27,14108.8
5067,2020-06-26,12190.9
5071,2020-06-25,12102.8
5085,2020-06-24,14089.1
5089,2020-06-23,15232.6
5105,2020-06-22,17459.5
5111,2020-06-21,18689.0
5121,2020-06-20,19684.6
5125,2020-06-19,21253.9
5136,2020-06-18,20672.8
5145,2020-06-17,21196.5
5153,2020-06-16,20544.6
5161,2020-06-15,19980.6
5168,2020-06-14,19692.9
5177,2020-06-13,18728.2
5190,2020-06-12,17574.5
5195,2020-06-11,17594.7
5203,2020-06-10,18212.9
5213,2020-06-09,17722.9
5225,2020-06-08,16868.8
5230,2020-06-07,15986.4
5239,2020-06-06,15534.8
5247,2020-06-05,15327.4
5259,2020-06-04,14483.6
5266,2020-06-03,14574.4
5281,2020-06-02,14304.1
5284,2020-06-01,13805.3
5292,2020-05-31,13336.7
5302,2020-05-30,12582.8
5313,2020-05-29,12692.1
5324,2020-05-28,12372.8
5328,2020-05-27,12158.4
5337,2020-05-26,11902.1
5346,2020-05-25,11691.7
5357,2020-05-24,11267.4
5366,2020-05-23,10358.9
5371,2020-05-22,10128.1
5379,2020-05-21,9778.9
5388,2020-05-20,9522.6
5401,2020-05-19,8822.6
5410,2020-05-18,8447.7
5415,2020-05-17,7822.1
5421,2020-05-16,7080.5
5430,2020-05-15,6691.7
5439,2020-05-14,6159.0
5445,2020-05-13,5966.1
5451,2020-05-12,5518.2
5455,2020-05-11,4933.6
5459,2020-05-10,4486.9
5470,2020-05-09,4035.7
5472,2020-05-08,3422.1
