No,VoucherType,Quantity,Sales,Date
2735,5 Birr,50513,252565,3/26/2021
2736,250 Birr,3,750,3/26/2021
2737,1000 Birr,2,2000,3/26/2021
2738,500 Birr,2,1000,3/26/2021
2739,5 Birr,46714,233570,3/25/2021
2740,10 Birr,89566,895660,3/25/2021
2741,500 Birr,7,3500,3/25/2021
2742,15 Birr,44084,661260,3/25/2021
2743,25 Birr,25970,649250,3/25/2021
2744,100 Birr,4015,401500,3/25/2021
2745,50 Birr,9598,479900,3/25/2021
2746,250 Birr,10,2500,3/25/2021
2747,1000 Birr,8,8000,3/25/2021
2748,10 Birr,83905,839050,3/24/2021
2749,5 Birr,40388,201940,3/24/2021
2750,25 Birr,23254,581350,3/24/2021
2751,15 Birr,14475,217125,3/24/2021
2752,250 Birr,3,750,3/24/2021
2753,50 Birr,9341,467050,3/24/2021
2754,100 Birr,2709,270900,3/24/2021
2755,500 Birr,11,5500,3/24/2021
2756,1000 Birr,4,4000,3/24/2021
2757,10 Birr,81595,815950,3/23/2021
2758,5 Birr,42238,211190,3/23/2021
2759,15 Birr,32711,490665,3/23/2021
2760,25 Birr,24439,610975,3/23/2021
2761,50 Birr,8665,433250,3/23/2021
2762,100 Birr,2579,257900,3/23/2021
2763,1000 Birr,4,4000,3/23/2021
2764,500 Birr,6,3000,3/23/2021
2765,250 Birr,5,1250,3/23/2021
2766,15 Birr,38147,572205,3/22/2021
2767,10 Birr,107174,1071740,3/22/2021
2768,25 Birr,30474,761850,3/22/2021
2769,50 Birr,10154,507700,3/22/2021
2770,5 Birr,46259,231295,3/22/2021
2771,100 Birr,3582,358200,3/22/2021
2772,250 Birr,7,1750,3/22/2021
2773,500 Birr,7,3500,3/22/2021
2774,1000 Birr,8,8000,3/22/2021
2775,5 Birr,20304,101520,3/21/2021
2776,10 Birr,40531,405310,3/21/2021
2777,50 Birr,4276,213800,3/21/2021
2778,15 Birr,18553,278295,3/21/2021
2779,25 Birr,13413,335325,3/21/2021
2780,100 Birr,1676,167600,3/21/2021
2781,250 Birr,2,500,3/21/2021
2782,500 Birr,3,1500,3/21/2021
2783,100 Birr,2723,272300,3/20/2021
2784,25 Birr,29775,744375,3/20/2021
2785,50 Birr,9570,478500,3/20/2021
2786,15 Birr,36071,541065,3/20/2021
2787,10 Birr,98535,985350,3/20/2021
2788,5 Birr,40128,200640,3/20/2021
2789,500 Birr,5,2500,3/20/2021
2790,250 Birr,6,1500,3/20/2021
2791,1000 Birr,6,6000,3/20/2021
2792,10 Birr,68006,680060,3/19/2021
2793,5 Birr,40377,201885,3/19/2021
2794,100 Birr,2619,261900,3/19/2021
2795,25 Birr,17897,447425,3/19/2021
2796,50 Birr,8357,417850,3/19/2021
2797,15 Birr,23995,359925,3/19/2021
2798,1000 Birr,4,4000,3/19/2021
2799,500 Birr,7,3500,3/19/2021
2800,25 Birr,36218,905450,3/18/2021
2801,15 Birr,48471,727065,3/18/2021
2802,10 Birr,110684,1106840,3/18/2021
2803,100 Birr,4217,421700,3/18/2021
2804,5 Birr,47755,238775,3/18/2021
2805,50 Birr,12693,634650,3/18/2021
2806,50 Birr,10170,508500,3/17/2021
2807,10 Birr,117863,1178630,3/17/2021
2808,5 Birr,56017,280085,3/17/2021
2809,15 Birr,39068,586020,3/17/2021
2810,25 Birr,33775,844375,3/17/2021
2811,100 Birr,3995,399500,3/17/2021
2812,500 Birr,1,500,3/17/2021
2813,1000 Birr,1,1000,3/17/2021
2814,5 Birr,61822,309110,3/16/2021
2815,10 Birr,113140,1131400,3/16/2021
2816,15 Birr,41217,618255,3/16/2021
2817,25 Birr,27840,696000,3/16/2021
2818,50 Birr,11199,559950,3/16/2021
2819,100 Birr,3613,361300,3/16/2021
2820,500 Birr,26,13000,3/16/2021
2821,250 Birr,20,5000,3/16/2021
2822,1000 Birr,11,11000,3/16/2021
2823,10 Birr,76184,761840,3/15/2021
2824,25 Birr,24972,624300,3/15/2021
2825,50 Birr,9934,496700,3/15/2021
2826,15 Birr,35210,528150,3/15/2021
2827,5 Birr,38439,192195,3/15/2021
2828,100 Birr,3121,312100,3/15/2021
2829,250 Birr,8,2000,3/15/2021
2830,1000 Birr,12,12000,3/15/2021
2831,500 Birr,5,2500,3/15/2021
2832,15 Birr,21031,315465,3/14/2021
2833,50 Birr,5311,265550,3/14/2021
2834,25 Birr,17498,437450,3/14/2021
2835,100 Birr,1677,167700,3/14/2021
2836,10 Birr,57641,576410,3/14/2021
2837,5 Birr,28283,141415,3/14/2021
2838,1000 Birr,5,5000,3/14/2021
2839,500 Birr,3,1500,3/14/2021
2840,250 Birr,3,750,3/14/2021
2841,15 Birr,35140,527100,3/13/2021
2842,50 Birr,11088,554400,3/13/2021
2843,5 Birr,41990,209950,3/13/2021
2844,25 Birr,31737,793425,3/13/2021
2845,10 Birr,88407,884070,3/13/2021
2846,100 Birr,4350,435000,3/13/2021
2847,250 Birr,9,2250,3/13/2021
2848,500 Birr,5,2500,3/13/2021
2849,1000 Birr,1,1000,3/13/2021
2850,15 Birr,31079,466185,3/12/2021
2851,10 Birr,87828,878280,3/12/2021
2852,25 Birr,26069,651725,3/12/2021
2853,50 Birr,10472,523600,3/12/2021
2854,5 Birr,41302,206510,3/12/2021
2855,250 Birr,3,750,3/12/2021
2856,100 Birr,3140,314000,3/12/2021
2857,500 Birr,6,3000,3/12/2021
2858,1000 Birr,5,5000,3/12/2021
2859,15 Birr,35051,525765,3/11/2021
2860,10 Birr,78694,786940,3/11/2021
2861,5 Birr,46977,234885,3/11/2021
2862,25 Birr,26882,672050,3/11/2021
2863,50 Birr,9955,497750,3/11/2021
2864,100 Birr,2888,288800,3/11/2021
2865,250 Birr,11,2750,3/11/2021
2866,1000 Birr,5,5000,3/11/2021
2867,500 Birr,5,2500,3/11/2021
2868,50 Birr,8805,440250,3/10/2021
2869,10 Birr,106588,1065880,3/10/2021
2870,25 Birr,27276,681900,3/10/2021
2871,100 Birr,2853,285300,3/10/2021
2872,15 Birr,37527,562905,3/10/2021
2873,5 Birr,50519,252595,3/10/2021
2874,500 Birr,5,2500,3/10/2021
2875,250 Birr,8,2000,3/10/2021
2876,50 Birr,11822,591100,3/9/2021
2877,10 Birr,110718,1107180,3/9/2021
2878,100 Birr,4435,443500,3/9/2021
2879,15 Birr,44306,664590,3/9/2021
2880,25 Birr,33962,849050,3/9/2021
2881,5 Birr,55127,275635,3/9/2021
2882,500 Birr,25,12500,3/9/2021
2883,250 Birr,6,1500,3/9/2021
2884,1000 Birr,1,1000,3/9/2021
2885,15 Birr,53391,800865,3/8/2021
2886,10 Birr,130831,1308310,3/8/2021
2887,25 Birr,39866,996650,3/8/2021
2888,5 Birr,75580,377900,3/8/2021
2889,50 Birr,11791,589550,3/8/2021
2890,100 Birr,4098,409800,3/8/2021
2891,250 Birr,6,1500,3/8/2021
2892,1000 Birr,2,2000,3/8/2021
2893,500 Birr,2,1000,3/8/2021
2894,10 Birr,49217,492170,3/7/2021
2895,5 Birr,20283,101415,3/7/2021
2896,15 Birr,19128,286920,3/7/2021
2897,50 Birr,5792,289600,3/7/2021
2898,25 Birr,14216,355400,3/7/2021
2899,100 Birr,1936,193600,3/7/2021
2900,250 Birr,3,750,3/7/2021
2901,500 Birr,4,2000,3/7/2021
2902,10 Birr,119064,1190640,3/6/2021
2903,5 Birr,79628,398140,3/6/2021
2904,15 Birr,49433,741495,3/6/2021
2905,25 Birr,40402,1010050,3/6/2021
2906,50 Birr,17224,861200,3/6/2021
2907,100 Birr,5075,507500,3/6/2021
2908,1000 Birr,15,15000,3/6/2021
2909,500 Birr,9,4500,3/6/2021
2910,250 Birr,3,750,3/6/2021
2911,25 Birr,27465,686625,3/5/2021
2912,50 Birr,10951,547550,3/5/2021
2913,10 Birr,99119,991190,3/5/2021
2914,5 Birr,48631,243155,3/5/2021
2915,15 Birr,36277,544155,3/5/2021
2916,100 Birr,3746,374600,3/5/2021
2917,1000 Birr,1,1000,3/5/2021
2918,500 Birr,6,3000,3/5/2021
2919,250 Birr,9,2250,3/5/2021
2920,10 Birr,94163,941630,3/4/2021
2921,5 Birr,49504,247520,3/4/2021
2922,50 Birr,10734,536700,3/4/2021
2923,15 Birr,34844,522660,3/4/2021
2924,25 Birr,26959,673975,3/4/2021
2925,100 Birr,3775,377500,3/4/2021
2926,250 Birr,3,750,3/4/2021
2927,1000 Birr,3,3000,3/4/2021
2928,500 Birr,2,1000,3/4/2021
2929,15 Birr,44222,663330,3/3/2021
2930,10 Birr,124156,1241560,3/3/2021
2931,50 Birr,10142,507100,3/3/2021
2932,25 Birr,32858,821450,3/3/2021
2933,5 Birr,58988,294940,3/3/2021
2934,100 Birr,3784,378400,3/3/2021
2935,500 Birr,11,5500,3/3/2021
2936,1000 Birr,6,6000,3/3/2021
2937,250 Birr,2,500,3/3/2021
2938,50 Birr,8242,412100,3/2/2021
2939,10 Birr,102650,1026500,3/2/2021
2940,15 Birr,32188,482820,3/2/2021
2941,5 Birr,39707,198535,3/2/2021
2942,25 Birr,25398,634950,3/2/2021
2943,100 Birr,2564,256400,3/2/2021
2944,1000 Birr,8,8000,3/2/2021
2945,500 Birr,15,7500,3/2/2021
2946,250 Birr,4,1000,3/2/2021
2947,5 Birr,40666,203330,3/1/2021
2948,10 Birr,88128,881280,3/1/2021
2949,15 Birr,39842,597630,3/1/2021
2950,25 Birr,25760,644000,3/1/2021
2951,50 Birr,11085,554250,3/1/2021
2952,100 Birr,4214,421400,3/1/2021
2953,1000 Birr,13,13000,3/1/2021
2954,500 Birr,20,10000,3/1/2021
2955,250 Birr,25,6250,3/1/2021
2956,10 Birr,51976,519760,2/28/2021
2957,5 Birr,27580,137900,2/28/2021
2958,25 Birr,14637,365925,2/28/2021
2959,15 Birr,22096,331440,2/28/2021
2960,50 Birr,5500,275000,2/28/2021
2961,100 Birr,1620,162000,2/28/2021
2962,250 Birr,7,1750,2/28/2021
2963,1000 Birr,2,2000,2/28/2021
2964,25 Birr,31746,793650,2/27/2021
2965,15 Birr,41697,625455,2/27/2021
2966,50 Birr,8858,442900,2/27/2021
2967,5 Birr,62994,314970,2/27/2021
2968,100 Birr,2553,255300,2/27/2021
2969,10 Birr,105488,1054880,2/27/2021
2970,250 Birr,3,750,2/27/2021
2971,500 Birr,3,1500,2/27/2021
2972,1000 Birr,2,2000,2/27/2021
2973,5 Birr,41175,205875,2/26/2021
2974,10 Birr,83105,831050,2/26/2021
2975,25 Birr,27331,683275,2/26/2021
2976,100 Birr,4324,432400,2/26/2021
2977,15 Birr,32090,481350,2/26/2021
2978,50 Birr,10758,537900,2/26/2021
2979,250 Birr,3,750,2/26/2021
2980,1000 Birr,13,13000,2/26/2021
2981,500 Birr,2,1000,2/26/2021
2982,5 Birr,45385,226925,2/25/2021
2983,10 Birr,88438,884380,2/25/2021
2984,15 Birr,33005,495075,2/25/2021
2985,25 Birr,24919,622975,2/25/2021
2986,50 Birr,9052,452600,2/25/2021
2987,100 Birr,3102,310200,2/25/2021
2988,500 Birr,12,6000,2/25/2021
2989,1000 Birr,3,3000,2/25/2021
2990,250 Birr,5,1250,2/25/2021
2991,50 Birr,7904,395200,2/24/2021
2992,100 Birr,2815,281500,2/24/2021
2993,10 Birr,79636,796360,2/24/2021
2994,15 Birr,36473,547095,2/24/2021
2995,25 Birr,21920,548000,2/24/2021
2996,5 Birr,46788,233940,2/24/2021
2997,1000 Birr,2,2000,2/24/2021
2998,500 Birr,13,6500,2/24/2021
2999,250 Birr,44,11000,2/24/2021
3000,10 Birr,111276,1112760,2/23/2021
3001,5 Birr,42864,214320,2/23/2021
3002,15 Birr,39680,595200,2/23/2021
3003,25 Birr,35941,898525,2/23/2021
3004,50 Birr,11554,577700,2/23/2021
3005,100 Birr,3009,300900,2/23/2021
3006,1000 Birr,4,4000,2/23/2021
3007,500 Birr,10,5000,2/23/2021
3008,250 Birr,6,1500,2/23/2021
3009,10 Birr,118071,1180710,2/22/2021
3010,5 Birr,64024,320120,2/22/2021
3011,15 Birr,44550,668250,2/22/2021
3012,25 Birr,31920,798000,2/22/2021
3013,50 Birr,11973,598650,2/22/2021
3014,100 Birr,4042,404200,2/22/2021
3015,1000 Birr,3,3000,2/22/2021
3016,500 Birr,3,1500,2/22/2021
3017,250 Birr,1,250,2/22/2021
3018,15 Birr,21944,329160,2/21/2021
3019,10 Birr,62548,625480,2/21/2021
3020,100 Birr,1395,139500,2/21/2021
3021,25 Birr,14027,350675,2/21/2021
3022,5 Birr,32847,164235,2/21/2021
3023,50 Birr,4749,237450,2/21/2021
3024,250 Birr,3,750,2/21/2021
3025,10 Birr,101418,1014180,2/20/2021
3026,25 Birr,26405,660125,2/20/2021
3027,15 Birr,33737,506055,2/20/2021
3028,5 Birr,69716,348580,2/20/2021
3029,50 Birr,9645,482250,2/20/2021
3030,100 Birr,3552,355200,2/20/2021
3031,1000 Birr,1,1000,2/20/2021
3032,500 Birr,7,3500,2/20/2021
3033,250 Birr,7,1750,2/20/2021
3034,50 Birr,8077,403850,2/19/2021
3035,5 Birr,41182,205910,2/19/2021
3036,10 Birr,75181,751810,2/19/2021
3037,25 Birr,21391,534775,2/19/2021
3038,15 Birr,28305,424575,2/19/2021
3039,100 Birr,2544,254400,2/19/2021
3040,1000 Birr,7,7000,2/19/2021
3041,500 Birr,5,2500,2/19/2021
3042,250 Birr,10,2500,2/19/2021
3043,25 Birr,24407,610175,2/18/2021
3044,10 Birr,82437,824370,2/18/2021
3045,5 Birr,40375,201875,2/18/2021
3046,100 Birr,3556,355600,2/18/2021
3047,15 Birr,35215,528225,2/18/2021
3048,50 Birr,9181,459050,2/18/2021
3049,250 Birr,6,1500,2/18/2021
3050,500 Birr,4,2000,2/18/2021
3051,1000 Birr,5,5000,2/18/2021
3052,5 Birr,40379,201895,2/17/2021
3053,10 Birr,108470,1084700,2/17/2021
3054,25 Birr,30273,756825,2/17/2021
3055,15 Birr,41771,626565,2/17/2021
3056,50 Birr,12238,611900,2/17/2021
3057,100 Birr,3909,390900,2/17/2021
3058,500 Birr,6,3000,2/17/2021
3059,1000 Birr,4,4000,2/17/2021
3060,250 Birr,3,750,2/17/2021
3061,10 Birr,94196,941960,2/16/2021
3062,5 Birr,46618,233090,2/16/2021
3063,15 Birr,40733,610995,2/16/2021
3064,25 Birr,28385,709625,2/16/2021
3065,100 Birr,3459,345900,2/16/2021
3066,250 Birr,5,1250,2/16/2021
3067,50 Birr,9668,483400,2/16/2021
3068,1000 Birr,7,7000,2/16/2021
3069,500 Birr,8,4000,2/16/2021
3070,10 Birr,126726,1267260,2/15/2021
3071,15 Birr,44632,669480,2/15/2021
3072,25 Birr,34575,864375,2/15/2021
3073,50 Birr,10444,522200,2/15/2021
3074,5 Birr,58183,290915,2/15/2021
3075,100 Birr,3662,366200,2/15/2021
3076,250 Birr,4,1000,2/15/2021
3077,1000 Birr,1,1000,2/15/2021
3078,500 Birr,7,3500,2/15/2021
3079,50 Birr,6352,317600,2/14/2021
3080,100 Birr,2403,240300,2/14/2021
3081,15 Birr,22282,334230,2/14/2021
3082,10 Birr,52462,524620,2/14/2021
3083,5 Birr,26246,131230,2/14/2021
3084,25 Birr,15780,394500,2/14/2021
3085,500 Birr,5,2500,2/14/2021
3086,1000 Birr,3,3000,2/14/2021
3087,250 Birr,4,1000,2/14/2021
3088,10 Birr,102996,1029960,2/13/2021
3089,250 Birr,5,1250,2/13/2021
3090,5 Birr,57555,287775,2/13/2021
3091,15 Birr,46080,691200,2/13/2021
3092,25 Birr,34104,852600,2/13/2021
3093,50 Birr,12364,618200,2/13/2021
3094,100 Birr,3490,349000,2/13/2021
3095,500 Birr,32,16000,2/13/2021
3096,1000 Birr,4,4000,2/13/2021
3097,15 Birr,36004,540060,2/12/2021
3098,25 Birr,26975,674375,2/12/2021
3099,50 Birr,9343,467150,2/12/2021
3100,10 Birr,106325,1063250,2/12/2021
3101,5 Birr,56654,283270,2/12/2021
3102,100 Birr,3112,311200,2/12/2021
3103,250 Birr,13,3250,2/12/2021
3104,500 Birr,27,13500,2/12/2021
3105,1000 Birr,7,7000,2/12/2021
3106,5 Birr,48343,241715,2/11/2021
3107,10 Birr,105300,1053000,2/11/2021
3108,25 Birr,35228,880700,2/11/2021
3109,15 Birr,42590,638850,2/11/2021
3110,50 Birr,13074,653700,2/11/2021
3111,100 Birr,4125,412500,2/11/2021
3112,1000 Birr,3,3000,2/11/2021
3113,250 Birr,1,250,2/11/2021
3114,10 Birr,117194,1171940,2/10/2021
3115,25 Birr,27455,686375,2/10/2021
3116,15 Birr,38695,580425,2/10/2021
3117,50 Birr,9470,473500,2/10/2021
3118,5 Birr,60581,302905,2/10/2021
3119,100 Birr,3233,323300,2/10/2021
3120,1000 Birr,6,6000,2/10/2021
3121,5 Birr,55549,277745,2/9/2021
3122,10 Birr,100485,1004850,2/9/2021
3123,15 Birr,39691,595365,2/9/2021
3124,25 Birr,29186,729650,2/9/2021
3125,50 Birr,13065,653250,2/9/2021
3126,100 Birr,3230,323000,2/9/2021
3127,250 Birr,18,4500,2/9/2021
3128,1000 Birr,4,4000,2/9/2021
3129,15 Birr,47212,708180,2/8/2021
3130,10 Birr,132542,1325420,2/8/2021
3131,5 Birr,66701,333505,2/8/2021
3132,25 Birr,37173,929325,2/8/2021
3133,100 Birr,4693,469300,2/8/2021
3134,50 Birr,14474,723700,2/8/2021
3135,1000 Birr,3,3000,2/8/2021
3136,500 Birr,43,21500,2/8/2021
3137,250 Birr,18,4500,2/8/2021
3138,50 Birr,6620,331000,2/7/2021
3139,10 Birr,66249,662490,2/7/2021
3140,100 Birr,1782,178200,2/7/2021
3141,15 Birr,25529,382935,2/7/2021
3142,25 Birr,16473,411825,2/7/2021
3143,5 Birr,26915,134575,2/7/2021
3144,250 Birr,5,1250,2/7/2021
3145,500 Birr,3,1500,2/7/2021
3146,1000 Birr,1,1000,2/7/2021
3147,25 Birr,35075,876875,2/6/2021
3148,50 Birr,11376,568800,2/6/2021
3149,5 Birr,57289,286445,2/6/2021
3150,15 Birr,45629,684435,2/6/2021
3151,10 Birr,115017,1150170,2/6/2021
3152,100 Birr,4176,417600,2/6/2021
3153,250 Birr,5,1250,2/6/2021
3154,1000 Birr,7,7000,2/6/2021
3155,500 Birr,2,1000,2/6/2021
3156,15 Birr,40710,610650,2/5/2021
3157,25 Birr,29695,742375,2/5/2021
3158,10 Birr,110485,1104850,2/5/2021
3159,50 Birr,10901,545050,2/5/2021
3160,100 Birr,3701,370100,2/5/2021
3161,5 Birr,59114,295570,2/5/2021
3162,250 Birr,9,2250,2/5/2021
3163,500 Birr,5,2500,2/5/2021
3164,1000 Birr,3,3000,2/5/2021
3165,5 Birr,64059,320295,2/4/2021
3166,10 Birr,107992,1079920,2/4/2021
3167,15 Birr,40465,606975,2/4/2021
3168,25 Birr,26291,657275,2/4/2021
3169,50 Birr,12719,635950,2/4/2021
3170,100 Birr,4138,413800,2/4/2021
3171,250 Birr,2,500,2/4/2021
3172,1000 Birr,8,8000,2/4/2021
3173,500 Birr,11,5500,2/4/2021
3174,15 Birr,49542,743130,2/3/2021
3175,10 Birr,124300,1243000,2/3/2021
3176,50 Birr,13015,650750,2/3/2021
3177,25 Birr,34759,868975,2/3/2021
3178,5 Birr,72111,360555,2/3/2021
3179,100 Birr,4197,419700,2/3/2021
3180,1000 Birr,5,5000,2/3/2021
3181,500 Birr,19,9500,2/3/2021
3182,250 Birr,7,1750,2/3/2021
3183,100 Birr,4000,400000,2/2/2021
3184,50 Birr,14333,716650,2/2/2021
3185,15 Birr,42734,641010,2/2/2021
3186,10 Birr,120531,1205310,2/2/2021
3187,25 Birr,38227,955675,2/2/2021
3188,5 Birr,61592,307960,2/2/2021
3189,1000 Birr,11,11000,2/2/2021
3190,10 Birr,133606,1336060,2/1/2021
3191,5 Birr,69974,349870,2/1/2021
3192,25 Birr,38453,961325,2/1/2021
3193,50 Birr,14192,709600,2/1/2021
3194,15 Birr,49402,741030,2/1/2021
3195,100 Birr,4580,458000,2/1/2021
3196,500 Birr,5,2500,2/1/2021
3197,1000 Birr,2,2000,2/1/2021
3198,5 Birr,41640,208200,1/31/2021
3199,15 Birr,27554,413310,1/31/2021
3200,10 Birr,77922,779220,1/31/2021
3201,25 Birr,19880,497000,1/31/2021
3202,50 Birr,8824,441200,1/31/2021
3203,100 Birr,2279,227900,1/31/2021
3204,500 Birr,24,12000,1/31/2021
3205,10 Birr,112275,1122750,1/30/2021
3206,25 Birr,32949,823725,1/30/2021
3207,50 Birr,12566,628300,1/30/2021
3208,15 Birr,48031,720465,1/30/2021
3209,5 Birr,64316,321580,1/30/2021
3210,100 Birr,4424,442400,1/30/2021
3211,250 Birr,1,250,1/30/2021
3212,500 Birr,11,5500,1/30/2021
3213,50 Birr,11652,582600,1/29/2021
3214,10 Birr,112490,1124900,1/29/2021
3215,100 Birr,4924,492400,1/29/2021
3216,5 Birr,64949,324745,1/29/2021
3217,15 Birr,42563,638445,1/29/2021
3218,25 Birr,31376,784400,1/29/2021
3219,1000 Birr,5,5000,1/29/2021
3220,500 Birr,60,30000,1/29/2021
3221,250 Birr,58,14500,1/29/2021
3222,10 Birr,107940,1079400,1/28/2021
3223,5 Birr,69752,348760,1/28/2021
3224,25 Birr,27672,691800,1/28/2021
3225,50 Birr,10413,520650,1/28/2021
3226,250 Birr,11,2750,1/28/2021
3227,15 Birr,39603,594045,1/28/2021
3228,100 Birr,2381,238100,1/28/2021
3229,500 Birr,14,7000,1/28/2021
3230,1000 Birr,4,4000,1/28/2021
3231,10 Birr,131047,1310470,1/27/2021
3232,5 Birr,55455,277275,1/27/2021
3233,15 Birr,40522,607830,1/27/2021
3234,25 Birr,32497,812425,1/27/2021
3235,50 Birr,11845,592250,1/27/2021
3236,100 Birr,4265,426500,1/27/2021
3237,1000 Birr,3,3000,1/27/2021
3238,500 Birr,17,8500,1/27/2021
3239,250 Birr,8,2000,1/27/2021
3240,100 Birr,4624,462400,1/26/2021
3241,10 Birr,111052,1110520,1/26/2021
3242,15 Birr,39887,598305,1/26/2021
3243,25 Birr,29490,737250,1/26/2021
3244,5 Birr,53922,269610,1/26/2021
3245,50 Birr,10797,539850,1/26/2021
3246,1000 Birr,5,5000,1/26/2021
3247,250 Birr,9,2250,1/26/2021
3248,500 Birr,9,4500,1/26/2021
3249,5 Birr,74345,371725,1/25/2021
3250,50 Birr,15718,785900,1/25/2021
3251,15 Birr,46108,691620,1/25/2021
3252,10 Birr,127204,1272040,1/25/2021
3253,100 Birr,4623,462300,1/25/2021
3254,25 Birr,35056,876400,1/25/2021
3255,1000 Birr,11,11000,1/25/2021
3256,15 Birr,28633,429495,1/24/2021
3257,10 Birr,79138,791380,1/24/2021
3258,50 Birr,7615,380750,1/24/2021
3259,25 Birr,20811,520275,1/24/2021
3260,5 Birr,34081,170405,1/24/2021
3261,100 Birr,2349,234900,1/24/2021
3262,1000 Birr,1,1000,1/24/2021
3263,5 Birr,73802,369010,1/23/2021
3264,10 Birr,150577,1505770,1/23/2021
3265,25 Birr,41475,1036875,1/23/2021
3266,50 Birr,14782,739100,1/23/2021
3267,100 Birr,5503,550300,1/23/2021
3268,15 Birr,57609,864135,1/23/2021
3269,500 Birr,42,21000,1/23/2021
3270,1000 Birr,6,6000,1/23/2021
3271,250 Birr,9,2250,1/23/2021
3272,15 Birr,43788,656820,1/22/2021
3273,10 Birr,124319,1243190,1/22/2021
3274,25 Birr,36830,920750,1/22/2021
3275,5 Birr,58408,292040,1/22/2021
3276,100 Birr,3825,382500,1/22/2021
3277,50 Birr,11250,562500,1/22/2021
3278,250 Birr,10,2500,1/22/2021
3279,1000 Birr,7,7000,1/22/2021
3280,500 Birr,11,5500,1/22/2021
3281,5 Birr,50826,254130,1/21/2021
3282,10 Birr,99903,999030,1/21/2021
3283,15 Birr,40508,607620,1/21/2021
3284,25 Birr,31106,777650,1/21/2021
3285,50 Birr,11338,566900,1/21/2021
3286,100 Birr,4440,444000,1/21/2021
3287,500 Birr,12,6000,1/21/2021
3288,250 Birr,5,1250,1/21/2021
3289,1000 Birr,3,3000,1/21/2021
3290,15 Birr,53440,801600,1/20/2021
3291,10 Birr,113409,1134090,1/20/2021
3292,100 Birr,3454,345400,1/20/2021
3293,50 Birr,11095,554750,1/20/2021
3294,25 Birr,44025,1100625,1/20/2021
3295,5 Birr,59578,297890,1/20/2021
3296,500 Birr,6,3000,1/20/2021
3297,250 Birr,7,1750,1/20/2021
3298,15 Birr,33886,508290,1/19/2021
3299,5 Birr,49880,249400,1/19/2021
3300,25 Birr,23822,595550,1/19/2021
3301,10 Birr,91418,914180,1/19/2021
3302,50 Birr,8376,418800,1/19/2021
3303,100 Birr,3031,303100,1/19/2021
3304,250 Birr,4,1000,1/19/2021
3305,1000 Birr,4,4000,1/19/2021
3306,500 Birr,4,2000,1/19/2021
3307,5 Birr,65867,329335,1/18/2021
3308,10 Birr,114438,1144380,1/18/2021
3309,50 Birr,20314,1015700,1/18/2021
3310,15 Birr,43908,658620,1/18/2021
3311,100 Birr,7227,722700,1/18/2021
3312,25 Birr,37273,931825,1/18/2021
3313,1000 Birr,9,9000,1/18/2021
3314,250 Birr,5,1250,1/18/2021
3315,500 Birr,6,3000,1/18/2021
3316,25 Birr,24352,608800,1/17/2021
3317,10 Birr,84071,840710,1/17/2021
3318,5 Birr,42778,213890,1/17/2021
3319,100 Birr,3142,314200,1/17/2021
3320,50 Birr,8516,425800,1/17/2021
3321,15 Birr,33486,502290,1/17/2021
3322,500 Birr,6,3000,1/17/2021
3323,250 Birr,2,500,1/17/2021
3324,1000 Birr,3,3000,1/17/2021
3325,5 Birr,64857,324285,1/16/2021
3326,10 Birr,117034,1170340,1/16/2021
3327,100 Birr,4371,437100,1/16/2021
3328,15 Birr,45094,676410,1/16/2021
3329,25 Birr,47301,1182525,1/16/2021
3330,50 Birr,12157,607850,1/16/2021
3331,250 Birr,9,2250,1/16/2021
3332,500 Birr,10,5000,1/16/2021
3333,50 Birr,9446,472300,1/15/2021
3334,15 Birr,40127,601905,1/15/2021
3335,10 Birr,116938,1169380,1/15/2021
3336,25 Birr,32724,818100,1/15/2021
3337,5 Birr,62207,311035,1/15/2021
3338,250 Birr,7,1750,1/15/2021
3339,100 Birr,3118,311800,1/15/2021
3340,500 Birr,4,2000,1/15/2021
3341,1000 Birr,2,2000,1/15/2021
3342,5 Birr,60349,301745,1/14/2021
3343,25 Birr,28736,718400,1/14/2021
3344,15 Birr,38135,572025,1/14/2021
3345,10 Birr,107238,1072380,1/14/2021
3346,50 Birr,9834,491700,1/14/2021
3347,100 Birr,2691,269100,1/14/2021
3348,250 Birr,3,750,1/14/2021
3349,1000 Birr,3,3000,1/14/2021
3350,500 Birr,4,2000,1/14/2021
3351,5 Birr,54247,271235,1/13/2021
3352,10 Birr,115371,1153710,1/13/2021
3353,15 Birr,39683,595245,1/13/2021
3354,50 Birr,11069,553450,1/13/2021
3355,25 Birr,29952,748800,1/13/2021
3356,100 Birr,3734,373400,1/13/2021
3357,1000 Birr,5,5000,1/13/2021
3358,500 Birr,11,5500,1/13/2021
3359,250 Birr,8,2000,1/13/2021
3360,5 Birr,57468,287340,1/12/2021
3361,50 Birr,12870,643500,1/12/2021
3362,25 Birr,35696,892400,1/12/2021
3363,10 Birr,105927,1059270,1/12/2021
3364,15 Birr,44566,668490,1/12/2021
3365,100 Birr,3861,386100,1/12/2021
3366,1000 Birr,43,43000,1/12/2021
3367,250 Birr,7,1750,1/12/2021
3368,500 Birr,7,3500,1/12/2021
3369,10 Birr,139731,1397310,1/11/2021
3370,5 Birr,64659,323295,1/11/2021
3371,15 Birr,53093,796395,1/11/2021
3372,25 Birr,37235,930875,1/11/2021
3373,50 Birr,18441,922050,1/11/2021
3374,100 Birr,6061,606100,1/11/2021
