No,VoucherType,Quantity,Sales,Date
419,5 Birr,45787,228935,12/16/2021
420,15 Birr,44280,664200,12/16/2021
421,100 Birr,3261,326100,12/16/2021
422,500 Birr,4,2000,12/16/2021
423,250 Birr,8,2000,12/16/2021
424,1000 Birr,1,1000,12/16/2021
425,10 Birr,98044,980440,12/15/2021
426,15 Birr,38246,573690,12/15/2021
427,50 Birr,12670,633500,12/15/2021
428,5 Birr,41144,205720,12/15/2021
429,25 Birr,31432,785800,12/15/2021
430,100 Birr,3442,344200,12/15/2021
431,1000 Birr,24,24000,12/15/2021
432,250 Birr,4,1000,12/15/2021
433,500 Birr,11,5500,12/15/2021
434,5 Birr,49152,245760,12/14/2021
435,10 Birr,108660,1086600,12/14/2021
436,15 Birr,42032,630480,12/14/2021
437,25 Birr,37485,937125,12/14/2021
438,100 Birr,3269,326900,12/14/2021
439,50 Birr,10552,527600,12/14/2021
440,500 Birr,5,2500,12/14/2021
441,250 Birr,24,6000,12/14/2021
442,1000 Birr,3,3000,12/14/2021
443,50 Birr,12277,613850,12/13/2021
444,10 Birr,103668,1036680,12/13/2021
445,100 Birr,3999,399900,12/13/2021
446,15 Birr,46513,697695,12/13/2021
447,5 Birr,51144,255720,12/13/2021
448,25 Birr,36030,900750,12/13/2021
449,500 Birr,5,2500,12/13/2021
450,250 Birr,4,1000,12/13/2021
451,15 Birr,28575,428625,12/12/2021
452,25 Birr,19752,493800,12/12/2021
453,50 Birr,7330,366500,12/12/2021
454,100 Birr,1900,190000,12/12/2021
455,10 Birr,53573,535730,12/12/2021
456,5 Birr,24250,121250,12/12/2021
457,250 Birr,8,2000,12/12/2021
458,1000 Birr,2,2000,12/12/2021
459,50 Birr,11509,575450,12/11/2021
460,5 Birr,45862,229310,12/11/2021
461,10 Birr,83986,839860,12/11/2021
462,15 Birr,40697,610455,12/11/2021
463,25 Birr,30988,774700,12/11/2021
464,100 Birr,4135,413500,12/11/2021
465,250 Birr,9,2250,12/11/2021
466,1000 Birr,1,1000,12/11/2021
467,15 Birr,37597,563955,12/10/2021
468,25 Birr,27313,682825,12/10/2021
469,50 Birr,10646,532300,12/10/2021
470,5 Birr,41345,206725,12/10/2021
471,10 Birr,83479,834790,12/10/2021
472,100 Birr,3363,336300,12/10/2021
473,500 Birr,1,500,12/10/2021
474,1000 Birr,2,2000,12/10/2021
475,250 Birr,15,3750,12/10/2021
476,5 Birr,39366,196830,12/9/2021
477,10 Birr,82556,825560,12/9/2021
478,100 Birr,3398,339800,12/9/2021
479,50 Birr,10055,502750,12/9/2021
480,15 Birr,37391,560865,12/9/2021
481,25 Birr,26438,660950,12/9/2021
482,250 Birr,8,2000,12/9/2021
483,500 Birr,5,2500,12/9/2021
484,1000 Birr,1,1000,12/9/2021
485,25 Birr,25048,626200,12/8/2021
486,10 Birr,80495,804950,12/8/2021
487,5 Birr,41347,206735,12/8/2021
488,50 Birr,10438,521900,12/8/2021
489,100 Birr,3325,332500,12/8/2021
490,15 Birr,36991,554865,12/8/2021
491,500 Birr,2,1000,12/8/2021
492,250 Birr,7,1750,12/8/2021
493,1000 Birr,1,1000,12/8/2021
494,10 Birr,85926,859260,12/7/2021
495,5 Birr,41063,205315,12/7/2021
496,50 Birr,11309,565450,12/7/2021
497,25 Birr,28843,721075,12/7/2021
498,15 Birr,35548,533220,12/7/2021
499,100 Birr,5090,509000,12/7/2021
500,250 Birr,3,750,12/7/2021
501,1000 Birr,2,2000,12/7/2021
502,500 Birr,7,3500,12/7/2021
503,5 Birr,66681,333405,12/6/2021
504,10 Birr,103512,1035120,12/6/2021
505,25 Birr,38117,952925,12/6/2021
506,15 Birr,50201,753015,12/6/2021
507,50 Birr,12297,614850,12/6/2021
508,100 Birr,3910,391000,12/6/2021
509,500 Birr,7,3500,12/6/2021
510,250 Birr,5,1250,12/6/2021
511,1000 Birr,4,4000,12/6/2021
512,10 Birr,43926,439260,12/5/2021
513,5 Birr,23006,115030,12/5/2021
514,15 Birr,19148,287220,12/5/2021
515,25 Birr,14937,373425,12/5/2021
516,50 Birr,5446,272300,12/5/2021
517,100 Birr,2100,210000,12/5/2021
518,1000 Birr,3,3000,12/5/2021
519,500 Birr,4,2000,12/5/2021
520,250 Birr,2,500,12/5/2021
521,50 Birr,10599,529950,12/4/2021
522,100 Birr,3008,300800,12/4/2021
523,10 Birr,83171,831710,12/4/2021
524,5 Birr,48015,240075,12/4/2021
525,15 Birr,37341,560115,12/4/2021
526,25 Birr,27473,686825,12/4/2021
527,1000 Birr,5,5000,12/4/2021
528,500 Birr,7,3500,12/4/2021
529,10 Birr,76201,762010,12/3/2021
530,5 Birr,38677,193385,12/3/2021
531,15 Birr,35898,538470,12/3/2021
532,25 Birr,24247,606175,12/3/2021
533,50 Birr,10148,507400,12/3/2021
534,100 Birr,2938,293800,12/3/2021
535,500 Birr,7,3500,12/3/2021
536,1000 Birr,4,4000,12/3/2021
537,10 Birr,70403,704030,12/2/2021
538,15 Birr,32779,491685,12/2/2021
539,5 Birr,43166,215830,12/2/2021
540,25 Birr,21498,537450,12/2/2021
541,50 Birr,8880,444000,12/2/2021
542,100 Birr,3021,302100,12/2/2021
543,1000 Birr,5,5000,12/2/2021
544,500 Birr,17,8500,12/2/2021
545,25 Birr,21329,533225,12/1/2021
546,10 Birr,87371,873710,12/1/2021
547,15 Birr,30522,457830,12/1/2021
548,50 Birr,8476,423800,12/1/2021
549,5 Birr,36975,184875,12/1/2021
550,100 Birr,3399,339900,12/1/2021
551,500 Birr,30,15000,12/1/2021
552,1000 Birr,16,16000,12/1/2021
553,250 Birr,2,500,12/1/2021
554,5 Birr,40071,200355,11/30/2021
